text,label,clean_text,embeddings
床位紧张，我们尽量吧,0,床位紧张我们尽量吧,"[-1.2568783  -0.81053054 -0.6751232  ...  0.68777883 -1.1834815
 -0.46060067]"
也就是说没有一个检查办法能够确诊，药物过敏。,1,也就是说没有一个检查办法能够确诊药物过敏,"[-0.5210753  -0.91834956 -1.0610464  ...  0.15904608 -0.96217453
  0.34328595]"
你心理负担比较重，那就做一下吧，应该没有什么问题的，做完后把结果给我看一下吧,1,你心理负担比较重那就做一下吧应该没有什么问题的做完后把给我看一下吧,"[-1.0428355  -1.3980094   0.03161624 ...  0.5741757  -1.0570836
  0.25094852]"
是的。,0,是的,"[-1.1729565  -1.4373653  -1.1206746  ...  0.25906834 -0.9338701
 -0.535936  ]"
建议阴道塞药，目前治疗HPV感染的药物很多。,1,建议阴道塞药目前治疗HPV感染的药物很多,"[-1.0345823  -0.848985   -0.71042573 ...  0.12591675 -0.5606525
  0.29038304]"
这个是大头痱子,1,这个是大头痱子,"[-0.17784949 -0.17664386 -0.92903596 ...  0.24008681 -0.21735395
  0.12213105]"
他也是高的啊，那么我觉得这个还是要考虑这个呃，她是一个标志物啊，也就是肿瘤有进展的这个可能性，但是呢，不一定从这个影像学上能够发现得了。,1,他也是高的啊那么我觉得这个还是要考虑这个呃她是一个标志物啊也就是肿瘤有进展的这个可能性但是呢不一定从这个影像学上能够发现得了,"[-0.87522674 -0.68102634 -0.81448585 ...  0.58247745 -0.34231597
  0.30454937]"
中医科医生知道的。,0,中医科医生知道的,[-0.0899004 -0.9045862 -0.7374152 ...  0.6275368 -0.7546818 -0.2522951]
面部治疗需要24小时核算报告。,0,面部治疗需要24小时核算报告,"[-0.35108808 -1.1323162  -0.70154953 ... -0.00672767 -0.816141
 -0.2951835 ]"
可以外院和我院间隔性的进行复查。,1,可以外院和我院间隔性的进行复查,"[-0.9941999  -1.2508559  -0.47363567 ... -0.12614873 -0.3948253
  0.5213784 ]"
1.外用夫西地酸软膏，每天两次，点涂在红肿痘痘和脓头的部位。,1,1外用夫西地酸软膏每天两次点涂在红肿痘痘和脓头的部位,"[-0.46191365 -1.0694234  -0.3517238  ... -0.09855689 -0.2721761
  0.20668128]"
乳腺这个您要到乳腺科就诊，由乳腺医生决定是否手术。,1,乳腺这个您要到乳腺科就诊由乳腺医生决定是否手术,"[-1.2549859  -1.1124132  -0.04219276 ... -0.13454367 -0.52180994
  0.7212261 ]"
皮肤看上去是湿疹的表现，首先还是要控制搔抓，所以没有肝肾功能的问题，口服抗组胺药物比如卢帕他定每天一片是可以的。,1,皮肤看上去是湿疹的表现首先还是要控制搔抓所以没有肝肾功能的问题口服抗组胺药物比如卢帕他定每天一片是可以的,"[-0.4962314  -1.1107829  -0.12079784 ...  0.41552314 -0.6418311
  0.24143659]"
还是发出来后一直在,0,还是发出来后一直在,"[-0.3423202  -1.4342552  -1.2652836  ...  0.18171415 -0.01701832
  0.02947217]"
对的，记住一个月后再查血常规，肝肾功能。,1,对的记住一个月后再查血常规肝肾功能,"[-0.5238718  -1.4878368  -0.8507699  ...  0.42146152 -0.42493045
  0.06136605]"
和位置有关糸。,0,和位置有关糸,"[-1.5410385  -0.88140833 -0.952796   ...  0.6074867  -0.799911
  0.12257949]"
建议近期内手术切除治疗,1,建议近期内手术切除治疗,"[-1.0803155  -0.7278844   0.14886943 ...  0.4478928  -0.58715856
  0.5872871 ]"
对的，这个需要一定的外科技巧才能保住肺,0,对的这个需要一定的外科技巧才能保住肺,"[-0.7014793  -0.87963235 -0.6697968  ...  0.4119389  -0.63837624
  0.10246389]"
可以打生长激素，密切随访MRI注意囊肿变化就可以了,1,可以打生长激素密切随访MRI注意囊肿变化就可以了,"[-1.1735841  -0.9921441  -0.00640437 ... -0.23747051 -0.6430411
  0.5329917 ]"
你好，那个你的检查都没有最近的检查。,0,你好那个你的检查都没有最近的检查,"[-0.974226   -0.9213766  -0.6065053  ...  0.722325   -0.8704207
 -0.05885231]"
像是神经来源的肿瘤，建议身体恢复好以后手术,1,像是神经来源的肿瘤建议身体恢复好以后手术,"[-1.3431004  -0.6859904   0.40296298 ...  0.39616388 -0.52210724
  0.9428077 ]"
然后呢，吃那个呃，肝功能好的话吃首乌片。,1,然后呢吃那个呃肝功能好的话吃首乌片,"[-0.6656053  -1.6274886  -0.02673952 ...  0.41079628 -0.4093628
 -0.40550926]"
目前感觉月经量少来咨询。,0,目前感觉月经量少来咨询,"[-0.50953937 -1.5370326  -0.6092099  ...  0.3496608  -0.6268274
 -0.11299625]"
右中叶毛玻璃结节前后比较没变化,1,右中叶毛玻璃结节前后比较没变化,"[-0.71355104 -0.96915805 -0.03103269 ...  0.40118864 -0.40554014
  0.3668177 ]"
可以多饮水观察。,1,可以多饮水观察,"[-0.5751681  -0.7317049  -0.77540004 ...  0.13306469 -0.10323484
 -0.23450062]"
如一切顺利，后者用一周可暂仃。,1,如一切顺利后者用一周可暂仃,"[-1.2530391  -0.9681224  -1.125118   ...  0.77896833 -0.38742554
 -0.53002787]"
最近饮食清淡，出门回家清洗面部和鼻腔。,1,最近饮食清淡出门回家清洗面部和鼻腔,"[-0.09421254 -1.1860275  -0.6093682  ... -0.01195869 -0.29858196
 -0.2231009 ]"
今天抽血了吗,0,今天抽血了吗,"[-0.26276234 -1.7534814  -1.201215   ...  0.2706757  -0.9355371
 -0.14706253]"
我看了照片,0,我看了照片,"[-0.5315881  -0.9884166  -0.16950577 ...  0.5384761  -1.1242933
 -0.34128124]"
呃，你好尿素纸鹤的微商都是选那个每张图片的第一个啊，那个第一个呃就是列在第一的那个呃款类类型啊，因为的微商，我们是用零点百分之零点零二五的啊，所以也是第一个。,0,呃你好尿素纸鹤的微商都是选那个每张图片的第一个啊那个第一个呃就是列在第一的那个呃款类类型啊因为的微商我们是用零点百分之零点零二五的啊所以也是第一个,"[-0.3951019  -0.9612057  -0.5477273  ...  1.0265294  -0.57404256
 -0.44798967]"
是从表面一个个掉下来呀，皮肤上面一个脱落下来，呃，我没听明白，你看明白你说的话就是大型公司，他慢慢就会松下来就不叮在肉上了他就会往下掉。,0,是从表面一个个掉下来呀皮肤上面一个脱落下来呃我没听明白你看明白你说的话就是大型公司他慢慢就会松下来就不叮在肉上了他就会往下掉,"[-0.5887355  -0.41492754 -0.4310091  ...  0.29918748 -0.5823033
 -0.5634787 ]"
3%硼酸溶液使用方法,0,3硼酸溶液使用方法,"[-0.19776629 -1.0309262  -0.70699793 ...  0.45928538 -0.758168
 -0.43289286]"
以上建议仅供参考，有问题请酌情联系我或来面诊。,0,以上建议仅供参考有问题请酌情联系我或来面诊,"[-0.8722813  -1.2253071  -0.23883232 ... -0.10753741 -1.0275757
  0.20743056]"
首先需考虑药物因素，所以建议先停停黄体酮。,1,首先需考虑药物因素所以建议先停停黄体酮,"[-0.22506374 -1.0099745  -0.30360425 ...  0.20978835 -0.6121628
  0.03790169]"
从B超看，恢复的还不错,1,从B超看恢复的还不错,"[-0.47815356 -1.0299908  -0.1930327  ... -0.45783958 -0.36975667
 -0.20843512]"
你好 请登录看一下光疗设备 可以咨询客服 如有疑问再联系,0,你好请登录看一下光疗设备可以咨询客服如有疑问再联系,"[-0.68282974 -0.93764055 -0.67891014 ...  0.17321628 -0.57897985
  0.03488849]"
3建议可以做组织工程移植，属于细胞移植。,1,3建议可以做组织工程移植属于细胞移植,"[-0.933673   -0.75057375 -0.00796963 ...  0.35647613 -0.45820045
  0.6362436 ]"
现在症状如何,0,现在症状如何,"[-0.32422346 -1.0605278  -1.0025641  ...  0.25341582 -0.7218701
 -0.02821621]"
哎，家长你好，这种情况呢，基本上是要做手术的呃造成的原因呢，主要是就是还是考虑先天性的一个鞘状突未闭造成的。,1,哎家长你好这种情况呢基本上是要做手术的呃造成的原因呢主要是就是还是考虑先天性的一个鞘状突未闭造成的,"[-1.0048184  -0.45772207  0.01081659 ... -0.0192655  -0.15188241
  0.37534583]"
发烧,0,发烧,"[-0.6053151  -0.55148876 -0.79992265 ...  0.94718945  0.08323479
  0.52342033]"
附睾炎治疗最少需要2周时间才能有起色,1,附睾炎治疗最少需要2周时间才能有起色,"[-0.51869553 -0.6996608  -0.43810683 ...  0.10698272 -0.04862578
 -0.25975317]"
看看片子,0,看看片子,"[-0.6872793  -1.3728738  -0.43446732 ...  0.23421785 -0.82711065
  0.37127653]"
碘伏消毒 破皮处 每天两次,1,碘伏消毒破皮处每天两次,"[-0.21844816 -0.5600658  -0.279604   ...  0.3661854  -0.6582961
 -0.79646325]"
目前症狀同脑內治療過的病灶沒有聯繫。,1,目前症狀同脑內治療過的病灶沒有聯繫,"[-0.36464557 -1.2822435  -0.45652112 ...  0.59460163 -0.8306062
  0.5974796 ]"
图片看上去是天疱疮，现在的口腔溃疡情况也是天疱疮引起的，口苦的症状是可能和药物有关，不要紧的,1,图片看上去是天疱疮现在的口腔溃疡情况也是天疱疮引起的口苦的症状是可能和药物有关不要紧的,"[ 0.21796587 -0.836741   -0.476624   ...  0.20178291 -0.5016379
  0.24032469]"
可以加用阿尔法受体阻滞剂。,1,可以加用阿尔法受体阻滞剂,"[-1.1648784  -1.1575799  -0.41227552 ...  0.9020988  -0.8327104
 -0.06476679]"
宫颈III度糜烂等霉菌性阴道炎治愈后建议激光治疗。,1,宫颈III度糜烂等霉菌性阴道炎治愈后建议激光治疗,"[-0.8736427  -0.9902983  -0.4223952  ...  0.374826   -0.6688981
  0.07326598]"
随访B超，若脑室进行性增宽加重，再复查MRI,1,随访B超若脑室进行性增宽加重再复查MRI,"[-0.59152424 -0.2857327  -0.09479111 ...  0.16713664 -0.49088442
  0.3916316 ]"
手术风险不大,1,手术风险不大,"[-1.0736284  -0.7701282   0.03695369 ...  0.0116486  -0.7465733
  0.2571481 ]"
基本没什么影响，在我这里全部微创，甚至经阴道单孔手术腹部无伤口,1,基本没什么影响在我这里全部微创甚至经阴道单孔手术腹部无伤口,"[-0.7382956  -0.7520286  -0.10003102 ... -0.14611088 -0.69926435
  0.1014775 ]"
这个是颅外的，一般问题不大，这个属于五官科或颌面外科的专业范畴，可以看这两个科的医生,1,这个是颅外的一般问题不大这个属于五官科或颌面外科的专业范畴可以看这两个科的医生,"[-0.62396455 -0.486074   -0.24866633 ...  0.07162905 -0.72067165
  0.48684248]"
不需要，就是随访复查。,0,不需要就是随访复查,"[-0.86183316 -1.3164134  -0.6422649  ... -0.14654486 -0.44711965
  0.31092998]"
只要没有TCT正常，没有上皮内瘤变就不用担心的。,1,只要没有TCT正常没有上皮内瘤变就不用担心的,"[-1.2321115  -0.6005962  -0.8819193  ...  0.33359486 -0.4900166
  0.13201244]"
大部分人42天可以基本恢复,1,大部分人42天可以基本恢复,"[-0.63437074 -1.5573924  -0.41996798 ...  0.7715807  -0.6429339
 -0.35884878]"
你做得很好。,0,你做得很好,"[-0.81536424 -0.9969944  -0.42957473 ... -0.03010435 -0.74029016
 -0.22712205]"
破损的地方可以使用夫西地酸，我说的复方克霉唑也是有消炎成分的。,1,破损的地方可以使用夫西地酸我说的复方克霉唑也是有消炎成分的,"[ 0.30750778 -1.1867876  -0.6091616  ...  0.27968132 -0.65022135
 -0.16275756]"
阴虱现在少见，剃掉阴毛，规律用药，会全愈。,1,阴虱现在少见剃掉阴毛规律用药会全愈,"[-0.3513229  -0.77788734 -0.21850508 ...  0.0742313  -0.46812794
 -0.05580496]"
足部的皮肤非常难控制，穿鞋本身就是一种刺激诱发因素，尽量足部通风透气，避免潮湿，足部冲洗，避免浸泡，有汗及时冲洗擦干。,1,足部的皮肤非常难控制穿鞋本身就是一种刺激诱发因素尽量足部通风透气避免潮湿足部冲洗避免浸泡有汗及时冲洗擦干,"[-0.8642222  -0.84322417 -0.08270884 ...  0.40698323 -0.2724894
  0.05815342]"
恶要。,0,恶要,"[-1.3653545  -1.4185371  -0.809754   ...  1.0116043  -0.36438435
 -0.3419719 ]"
他可能就会导致皮肤嘴巴周围的皮肤发红。,1,他可能就会导致皮肤嘴巴周围的皮肤发红,"[-0.27573687 -0.4008     -1.1833565  ...  0.65182316 -0.5905061
 -0.53394264]"
像这个情况呢，一个是我看了鼻子上这个基本消化去了啊，基本消下去了，然后呢这样子以后呢，这个呃可以再加上其他的配合其他的一些治疗痘痘的药物像什么，那个阿达芙文我不知道你用没用过小孩子用的一个法国进口的药叫达芙文你到网上淘宝上都有卖的自己去搜一下它的成分是过氧苯甲酰，氨可以交替着使用，因为一种药用久了以后会耐药的抗生素之类的，特别是抗生素用久了以后会耐药啊，包括你看他以前用过夫西地酸，后面还有颗粒民宿啊，都使用过的可以过段时间再换一换啊，再调一调。,1,像这个情况呢一个是我看了鼻子上这个基本消化去了啊基本消下去了然后呢这样子以后呢这个呃可以再加上其他的配合其他的一些治疗痘痘的药物像什么那个阿达芙文我不知道你用没用过小孩子用的一个法国进口的药叫达芙文你到网上淘宝上都有卖的自己去搜一下它的成分是过氧苯甲酰氨可以交替着使用因为一种药用久了以后会耐药的抗生素之类的特别是抗生素用久了以后会耐药啊包括你看他以前用过夫西地酸后面还有颗粒民宿啊都使用过的可以过段时间再换一换啊再调一调,"[-0.3912201  -1.4892132  -0.6991787  ... -0.12088692 -0.17767061
  0.07131977]"
如地屈孕酮或黄体酮。,1,如地屈孕酮或黄体酮,"[-1.2444209  -1.5660946  -0.81366676 ...  0.74666154 -0.7694928
 -0.25988778]"
孕周还小，自己114平台预约吧，周四下午,1,孕周还小自己114平台预约吧周四下午,"[-0.9961454  -0.8888364  -0.37437767 ... -0.13627769 -0.8416295
 -0.14453691]"
心脏应该没什么大毛病,1,心脏应该没什么大毛病,"[-1.0975643  -1.0982716  -0.25222844 ...  0.14296256 -0.40734354
  0.01957092]"
温馨提示：特需病房床位费2000元一天，因疫情目前陪护限1位家长，全部费用上海少儿医保不负责报销，其他医保请咨询医保部门,1,温馨提示特需病房床位费2000元一天因疫情目前陪护限1位家长全部费用上海少儿医保不负责报销其他医保请咨询医保部门,"[-0.5932331  -0.969738   -0.8223549  ... -0.14844102 -0.73090494
  0.47735193]"
片子看不了,0,片子看不了,"[-0.2608226  -1.2237494  -0.6131288  ...  0.25131726 -0.69442785
  0.27309203]"
在复查的时候，同时做抗苗勒氏管激素的检查可以协助明确诊断,1,在复查的时候同时做抗苗勒氏管激素的检查可以协助明确诊断,"[-1.1007702  -1.0856259  -0.4509374  ... -0.09560055 -0.51319754
  0.42640948]"
住院押金1万，费用基本上都是医保报销的,1,住院押金1万费用基本上都是医保报销的,"[-0.99125624 -0.95316356 -0.47868687 ... -0.2265522  -0.3479108
  0.30420634]"
可以服用西乐葆或者泰勒宁等止痛药物,1,可以服用西乐葆或者泰勒宁等止痛药物,"[-0.62907374 -1.2396222  -0.02405933 ...  0.7555301  -1.0313752
  0.06825963]"
是的，建议0.03%的他克莫司继续使用。,1,是的建议003的他克莫司继续使用,"[-0.36284816 -1.4722359  -0.78762245 ...  0.49638733 -0.5320344
 -0.27405298]"
视力多数可以恢复的,1,视力多数可以恢复的,"[-0.6279778  -1.2276831  -0.27478966 ... -0.00993662 -0.40750808
 -0.17246416]"
这个不算肿了，是我留给他的包皮，翻开来清洗呀,1,这个不算肿了是我留给他的包皮翻开来清洗呀,"[-0.16207358 -0.6374886  -0.4403376  ...  0.27108634 -0.37504908
 -0.42799205]"
病情及图片均见悉。,0,病情及图片均见悉,"[-0.6786448  -1.1103197  -0.46671343 ...  0.13324797 -0.5611167
  0.22363898]"
欢迎关注好大夫在线，感谢您的信任！,0,欢迎关注好大夫在线感谢您的信任,"[-0.06841055 -1.0177745  -0.41283438 ... -0.14765891 -0.793841
 -0.24399376]"
你现在转氨酶100多，我不建议你就是就是，如果说不是必要必须要吃的药，可能我都建议你全停掉，嗯，两周以后再复查一下这个转氨酶，嗯，四周过去复查的话有点太长了，如果说转氨酶超过200以上是必需要保肝治疗的你现在100多，你把所有的药就是说如果保胎灵也可以停的话，你可以把现在所有不紧急必须要吃的药先停掉，然后两周以后复查一下肝功看能不能正常，如果说还是不正常，而且越来越高的话是需要保肝治疗的。,1,你现在转氨酶100多我不建议你就是就是如果说不是必要必须要吃的药可能我都建议你全停掉嗯两周以后再复查一下这个转氨酶嗯四周过去复查的话有点太长了如果说转氨酶超过200以上是必需要保肝治疗的你现在100多你把所有的药就是说如果保胎灵也可以停的话你可以把现在所有不紧急必须要吃的药先停掉然后两周以后复查一下肝功看能不能正常如果说还是不正常而且越来越高的话是需要保肝治疗的,"[-0.39327452 -1.3054454  -0.49979722 ...  0.23886162 -0.02664708
 -0.17494819]"
有问题再联系！,0,有问题再联系,"[-0.80273867 -0.9261608  -1.3720083  ...  0.38069892 -0.800573
 -0.27963996]"
哎，正好在那个眼睑的上面一点。,0,哎正好在那个眼睑的上面一点,"[-0.6577425  -0.8599669  -0.30752137 ...  0.3385914  -0.91464096
  0.41411787]"
因此，目前的主要建议还是做好休养。,1,因此目前的主要建议还是做好休养,"[-0.8266064  -0.8132605  -0.44747657 ...  0.63803256 -0.47499228
  0.0963466 ]"
现在说这个没意义。,0,现在说这个没意义,"[ 0.0273165  -1.5139998  -1.0767984  ...  0.5902942  -0.83592844
 -0.07462803]"
双侧输尿管下端都有侵犯，前列腺，精囊都有侵犯，而且考虑肝脏有多发转移，应该是肿瘤4.期了，再次手术，我觉得已经没有太大的必要。,1,双侧输尿管下端都有侵犯前列腺精囊都有侵犯而且考虑肝脏有多发转移应该是肿瘤4期了再次手术我觉得已经没有太大的必要,"[-0.8214848  -0.35755658 -0.18392956 ...  0.7730937  -0.59938157
  0.3005308 ]"
你好，目前的手术方案，如果要是考虑进一步进行的话，需要先做ECT同位素检查，也就是了解分肾功能，再确定是否做肾脏的摘除。,1,你好目前的手术方案如果要是考虑进一步进行的话需要先做ECT同位素检查也就是了解分肾功能再确定是否做肾脏的摘除,"[-0.87356305 -0.70094025 -0.13401164 ...  0.5563581  -1.0873021
  0.36583224]"
嗯，这个报告看上来的话，一个同性半胱氨酸增高的建议，要吃叶酸，嗯和阿司匹林，最好要吃点活性叶酸和阿司匹林，另外一个的话就是胰岛素抵抗可以要锻炼身体，增加减脂在吃二甲双胍。,1,嗯这个报告看上来的话一个同性半胱氨酸增高的建议要吃叶酸嗯和阿司匹林最好要吃点活性叶酸和阿司匹林另外一个的话就是胰岛素抵抗可以要锻炼身体增加减脂在吃二甲双胍,"[-1.0086032  -1.351059   -0.54211974 ... -0.03837392  0.06405844
  0.01971304]"
病灶非常微小，囊肿或微小腺瘤都有可能。,1,病灶非常微小囊肿或微小腺瘤都有可能,"[-0.989756   -0.7928408  -0.30224508 ...  0.06274053 -0.8365358
  0.56963956]"
根据皮疹情况目前考虑湿疹哦,1,根据皮疹情况目前考虑湿疹哦,"[-0.53647065 -0.94395626 -0.38438037 ...  0.01087412 -0.42450964
 -0.04505688]"
都可以，或2周问问我正式报告，拍好片子告诉我看看,0,都可以或2周问问我正式报告拍好片子告诉我看看,"[-0.97993624 -0.8901677  -0.2971008  ...  0.10797328 -0.6000532
 -0.00304109]"
汪主任联系了吗？,0,汪主任联系了吗,"[-0.975415   -1.4420106  -1.4695088  ... -0.19363704 -0.52006924
 -0.40112373]"
嗯，要看一下你的那个滴剂是什么样子的，你看一下那个说明书，虽然每个药物它，它那个它的用法差不多，但是每个药物还是有些细微的差别的，你看一下这个药品的说明书看一下。,0,嗯要看一下你的那个滴剂是什么样子的你看一下那个说明书虽然每个药物它它那个它的用法差不多但是每个药物还是有些细微的差别的你看一下这个药品的说明书看一下,"[-0.71748245 -1.2098753  -0.6032773  ... -0.15834126 -0.4469659
  0.03151223]"
一个问题一个问题就当时的病理结果是什么，那么还有你最近的片子是怎么样，最近还在用贝伐单抗或者说用靶向药吗，呃，最近没有什么所以你要先把这个最近的强化的磁共振片子给我，因为前面用了靶向药，除了强化序列还需要给一个福利二序列，那么这两个系列不知道搞不搞得清楚，如果搞不清楚，请当地医生帮忙呢。,0,一个问题一个问题就当时的病理是什么那么还有你最近的片子是怎么样最近还在用贝伐单抗或者说用靶向药吗呃最近没有什么所以你要先把这个最近的强化的磁共振片子给我因为前面用了靶向药除了强化序列还需要给一个福利二序列那么这两个系列不知道搞不搞得清楚如果搞不清楚请当地医生帮忙呢,"[-0.48531756 -1.2600098  -0.00449297 ...  0.42399323 -0.6717905
  0.6501203 ]"
你电话多少，我让再鼎公司联系你。,0,你电话多少我让再鼎公司联系你,"[-1.4156064  -0.9265762  -1.1908178  ...  0.72724664 -0.74900067
 -0.1586273 ]"
你现在还哺乳吗？,0,你现在还哺乳吗,"[-0.43466973 -1.8431515  -0.6574385  ...  0.33353192 -0.7741929
  0.24656077]"
开过月经了吗,0,开过月经了吗,"[-0.8835381  -1.6851573  -1.1438428  ...  0.32227415 -1.0037167
  0.09515121]"
嗯，做试管没影响的，没关系的，试管前，有的时候把它预存里也要用避孕药的。,1,嗯做试管没影响的没关系的试管前有的时候把它预存里也要用避孕药的,"[-0.86595255 -1.1176442  -0.54362196 ...  0.03237612 -0.53389966
 -0.20187204]"
吃药不影响打疫苗，之所以不打是因为害怕疫苗引起过敏，加重荨麻疹,1,吃药不影响打疫苗之所以不打是因为害怕疫苗引起过敏加重荨麻疹,"[-1.1623497  -0.83698153 -0.3112746  ...  0.2650317  -0.72575825
 -0.23851605]"
我是医生，不是老师,0,我是医生不是老师,"[-0.37184083 -1.4476411  -0.5813547  ...  0.22221893 -1.2448279
 -0.0053127 ]"
首先没有特效药，如果没有感染的情况下你吃消炎药反而容易引起耐药和真菌感染。,1,首先没有特效药如果没有感染的情况下你吃消炎药反而容易引起耐药和真菌感染,"[-0.82946026 -0.815439   -0.12548786 ...  0.48119295 -0.7660196
 -0.09680931]"
2019年，通气功能还行，估计弥散功能或心脏有问题，才会引起胸闷症状。,1,2019年通气功能还行估计弥散功能或心脏有问题才会引起胸闷症状,"[-0.86142075 -1.0862113  -0.48539338 ...  0.02388045 -0.6191112
  0.32651263]"
苯扎氯氨的这个溶液，我没有用过那这效果如何，我现在也不知道一般呢，是皮肤粘膜消毒剂呢，呃是可以用的。,1,苯扎氯氨的这个溶液我没有用过那这效果如何我现在也不知道一般呢是皮肤粘膜消毒剂呢呃是可以用的,"[-0.50309134 -1.2032424  -0.38816598 ...  0.33381614 -0.57875836
 -0.1755658 ]"
因为你拍了很久，当然我们也可以适当的照顾你，但是目前因为我这里有800多号病人。,0,因为你拍了很久当然我们也可以适当的照顾你但是目前因为我这里有800多号病人,"[-0.415833   -0.8790525  -0.34235078 ...  0.28527308 -0.9044646
  0.24134657]"
脑室大，已经接上外引流了，余医生现在门诊，结束后还会去看,1,脑室大已经接上外引流了余医生现在门诊结束后还会去看,"[-0.25858632 -0.21682464 -0.16135722 ... -0.29821306 -0.25524452
  0.00098464]"
嗯，就是做这个检测你要只知道要做这个检测就好了。,0,嗯就是做这个检测你要只知道要做这个检测就好了,"[-0.8384509  -1.1540499  -0.9271054  ...  0.20063385 -0.64625114
 -0.22184148]"
毛玻璃到了浸润有转移的风险，只是风险的大小和结节的大小以及密度都有关系，结节越小越淡越不可能转移。,1,毛玻璃到了浸润有转移的风险只是风险的大小和结节的大小以及密度都有关系结节越小越淡越不可能转移,"[-0.882751   -0.98599106 -0.21111085 ...  0.38900757 -0.73981047
  0.49140093]"
对其所提出的用药，用量及用法均巴在交流中交书面交代清楚，不在此再重复。,0,对其所提出的用药用量及用法均巴在交流中交书面交代清楚不在此再重复,[-0.9929352 -1.7387397 -0.9037617 ...  0.0994713 -0.2713608  0.2620368]
这个指标意义不大,0,这个指标意义不大,"[-1.3293133  -0.9698372  -0.7328913  ...  0.61619246 -0.25635082
 -0.1476066 ]"
肌瘤可以长在肌壁间、浆膜下和黏膜下。,1,肌瘤可以长在肌壁间浆膜下和黏膜下,"[-0.7887974  -0.3888234  -0.38078046 ...  0.54467756 -0.60783
 -0.04493636]"
如果有强烈手术意愿，建议带片就诊。,1,如果有强烈手术意愿建议带片就诊,"[-1.0671182  -0.99201894  0.12102193 ...  0.12302681 -0.96173656
  0.5700318 ]"
如果一半粘连可以暂时不动，等第二天再淋浴或者小便时自己也有可能脱落。,1,如果一半粘连可以暂时不动等第二天再淋浴或者小便时自己也有可能脱落,"[-0.9125744  -0.18612172 -0.18524402 ...  0.08383358 -0.23387739
 -0.13001469]"
这个囊肿是先天性的，从出生就有了,1,这个囊肿是先天性的从出生就有了,"[-0.90213156 -0.20542963  0.16547945 ...  0.12944372 -0.6253052
  0.5230673 ]"
不行 一定要病人到门诊才行,0,不行一定要病人到门诊才行,"[-0.8716852  -1.3604337  -0.82092035 ...  0.13708237 -0.83179164
  0.13200551]"
报告呢,0,报告呢,"[-0.7026916  -1.3851953  -0.7870228  ...  0.05324124 -0.08318374
 -0.5003462 ]"
如果到我们医院做，我们会再复查薄层ct评估切除范围。,1,如果到我们医院做我们会再复查薄层ct评估切除范围,"[-0.63205767 -1.1217504   0.2338425  ...  0.21681178 -0.92346025
  0.790201  ]"
