text,label
前列腺炎的问题需要进一步检查，积极治疗，可以做前列腺液的常规，加细菌培养检查，根据药敏应用敏感药物，并且辅助以阿尔法受体阻滞剂和中成药。,1
他开幕式两年内过敏，怎么过敏啦，你可能要差的太多了吧，呃，有的人呢，擦了多了以后反而又红又多啊，又红又那个刺痛又痒更加不舒服，这是要用了太多的关系，呃，她就是这样表现的其实不是过敏啊，是药量太多了，所以我们要求呢，就是说付好以后先薇诺娜或者单纯的水乳打底打个底以后，然后来用极少量的卡卡慕斯啊，最好的就是进口原装的那个普特皮。,1
同时，加上螺内酯片一起口服，帮助消肿，预防血压升高，每日三次，每次一粒。,1
看视力视野检查结果，和你爸爸的手术意愿,0
症状缓解后逐渐减量停药,1
干的话2-3天拿掉就行了,0
手术的话因为位置较深，可能切除左上肺接近一半,1
三个月后复查评估。,1
做好PET ，请拍照发上来,0
嗯，是这样的，我看你最近的B超内膜还是蛮厚的，有13毫米，那估计是要来月经了，那么如果没有性生活的话啊，那么呃，平均我们有这个性生活的话，首先还要考虑妊娠相关的疾病，那我估计你也查过尿HCG，如果屙尿HCG阴性的话。,1
但不是必需切 不切活到80岁没问题,1
宝宝发过湿疹吗？,0
激光可能导致后续出现增多和爆发,1
如果ct提示侵润不厉害，亦可考虑微创切除。,1
更像皮炎,1
我觉得最好做个宫腔镜 否则万一怀孕流产了呢,1
建议化疗脱水 症状缓解后放疗 可尝试靶向药物治疗,1
痘印需要打美容激光，痘痘继续吃美满霉素和异维a酸，外涂奥洛软膏,1
嗯，跟后脑勺呢，还是不一样后脑勺呢，它容易头晕啊，换句话说，后脑勺的病灶需要优先处理的。,1
就是新霉素曲安奈德贴膏，可以剪成和皮损一样大小，贴在患处。,1
可以吃6盒的,1
肺部微小结节不要紧，不像恶性的。,1
考虑是早期的肺腺癌,1
如果这两点都做好了，还是不好没有改善，可以再涂点激素类药膏，比如派瑞松一天两次,1
您好，我是陈医生助理，陈老师对您的情况比较关心，您目前硬度情况是否有好转？,0
去医院配吧，我们是吃来曲唑,1
鉴于患有乳腺疾患，宜服用地诺孕素治疗为妥。,1
看到了，像坏死,1
不要过度清洁皮肤,1
这是钙化的东西啊，这个东西我昨天都没看啊，你整个肌肉的体积啊，整体比上次小了很多啊，他慢慢慢慢的去说，月经也会吸收淡化的。,1
你自己有用过什么药吗,0
B超检查宫内妊娠确诊。,1
有条件的话，每天换一下，局部最好每天清水清洗,1
普通床位一天100元左右，高级病房床位比较贵。,1
你好，这个情况手术是没有机会了。,1
完善脑电图和头颅磁共振检查，观察随访。,1
好的片子我已经看过了，还是把小朋友带到上海来压力要调一下,0
盐酸达泊西汀 1盒,1
头上可以用赛美尔凝胶,1
或者你找网站的这个医助帮助你上传一下Di com格式的这种图片这样让方便让我自己查看。,0
奥希替尼吃了几个月,0
先把药吃上 然后复查残余尿情况 停药前残余尿控制的还可以么？,1
一般不至于停不了，不用吃止血的,1
这几个月到半年之内他都会吸收持续性的再吸收你现在这次拍的片子肉眼可见的比上次小了很多很多啊，我不知道你这个到底有没有去看片子，这片子已经吸收非常的明显了，就说明你这个保守治疗效果非常的好，那么有没有钙化后面再看，因为你现在还在吸收少量的钙化骨头本身也是该花的一个东西，如果跟骨头磨合在一起，就问题不大的啊，这个不会有太大影响，如果后面一点点的话它影响不大啊。,1
只做了阴道镜检查，为什么不同时做宫颈活检呢？,0
根据你传上来的病史及卫生巾上的分泌物应该是白带。,1
目前无法排除复发转移可能，建议完善膀胱镜和PETCT检查，根据检查结果确定后续治疗方案,1
挠吗？,0
毒消炎药，其实对于局部的80件囊肿，它没有太大的作用的，嗯，不管吃什么，你大概总体的抗生素吃个一周以后也就差不多了，你这个盐酸莫西沙星已经很厉害的了，如果你再换回头孢来讲，嗯，可能也没什么大的效果了，如果你吃够一个星期，消炎药，你就可以考虑停了，嗯，你感觉这个环节可能是周围的组织水肿不是很厉害了，肿胀感好一点了，那么你就会觉得它稍微有一点点缓解的感觉。,1
你现在这样情况，如果没有口服药，你坚持擦药，效果也应该是有的。,1
外伤时间短，暂不需要去医院就诊。,1
方便的话门诊让我检查一下好吗,0
你现在可以抽血检查卵巢功能，如果孕酮水平增高，提示已经排卵，可以再等等来月经,1
哎，我也记不清你到底是哪一个病人呢，你就听按我们说的来办啊，如如果我说没问题就是没问题啊，你也别因为我确实记不清，因为人有几十个人，我不可能记得清你是哪一个呃，你就以我门诊说的为准好不好，如果还有问题的话，建议你下次还是到我们这来吧，因为这上面我，我想不起来了。,0
面部绿色部分考虑毛囊炎：注意清洁润肤，看看自己可以消退不，不要扣，如果红肿热痛加重再看一下。,1
下周根据防疫政策跟您联系，预约下下周住院和手术,1
您看下我的科普文章，里面都有的，可以报销的,1
是好大夫在线的平台电话，嗯你什么时候方便接电话回个信息，另外把目前这个月的皮肤照片上传一下。,1
根据你传上来的病史胎停流产后2月随访B超结果显示宫腔内已经流干净了。,1
后期随访，一般2-4周左右随访B超，主要关注脑室增宽有否进一步加重。,1
这个星期六是正好有门诊啊，加了一天的门诊门诊的，在高科西路2699号东院门诊的二楼专家门诊。,1
百多邦不对症，就注意护理，及时擦掉涂点润肤霜就行,1
好的，不客气,0
现在在用什么药？,0
复查医院要求：其他具备条件的医院均可,1
其他部位现在怎么样,0
之后治疗根据病理结果,0
啊，注意做好个人卫生就行。,1
硒酵母混悬液（富希康） 5μg/ml*100ml 数量：4盒,1
那么晚上的话呢，我觉得洗完脸以后呢，我也给你开了一个呃，氨甲环酸的一个呃，淡斑的一个面膜，那么呃，你可以如果愿意的话，我建议是隔天用一次就晚上洗完脸把这个贴在脸上呃，然后隔天用一次三盒呢，正好是一个月的量啊，正好是一个疗程，那么可以同时来用啊，因为呃口服的氨甲环酸和外用的氨甲环酸，那么他都对班还是有一定的淡化的效果的那么呃，敷20分钟左右拿掉以后洗一下脸，那么然后再涂这个啊，夏青素精华液喝你自己的温碧泉的保湿护肤的产品啊啊，就可以了，那么当然你原来还开过氢醌乳膏啊，如果氢醌乳膏用下来不过敏，那么可以在整个用好以后啊，可以再涂一点，那个贫困的乳膏。,1
口服甲钴胺，每天三次每次一粒，营养修复神经。,1
目前我们科室的普通门诊已经开放，可以网上预约或者到现场预约看门诊。,0
目前这个政策，估计会随着疫情的好转，逐步的调整。,0
不冲突的,0
我们这里定金的话是交七千五啊，交七千五定金啊，是预约手术以后，呃可以更改啊，你时间你如果正好有那个的话，你要提前一到两个星期吧，跟我们说，然后我们会安排，因为我们手术病人很多吗，我们可以把后面的人提上来，你就往后面延啊，大概是这么一个情况啊。,1
快递收得到吗？,0
明显了可以换他克莫司,1
这么操作能好的可能性不大,0
目前表面还有溃疡，可以先外涂夫西地酸软膏，防止创面感染，表面可以用纱布或创可贴保护一下。,1
夜尿（睡着以后）几次？,0
好的，祝早日康复,0
周五目前没有手术安排,0
根据你传上来的病史及B超检查结果显示双侧卵巢囊肿存在（巧囊可能）。,1
催奶不吃鱼虾蟹，就以猪肉鸡鸭为主,1
我也打激光的可以周三过来我这边激光也行,1
10月11号周二上午尿路结石中心门诊复查，门诊二楼2412房间,1
大部分一次就好。,0
呃，基本上是正常的，就是排尿最呃，最高压72厘米水柱，这是很高的通常不超过40厘米，呃，可能存在一个膀胱过度活动的状态。,1
可以现场挂号，如果挂不到，来找我加号。,0
我觉得他你呢，你呢，有没有骗子啊，可以发给我看一下吗。,0
呃，没关系的，你那个线呢是应该是可吸收线其实我让你过来，到时候就是看看切口愈合的情况，这个线慢慢慢慢自己也会吸收的呃，你放心就可以了啊。,1
不是，不过日子差不多,0
沒有出血，沒有增大。,1
呃，关于内膜薄呢，是这样的，如果。,0
我们叫假孕疗法。,1
胃肠镜没问题的话，可以考虑到我们中西医结合科去就诊的，对症治疗慢性盆腔炎,1
一般来说这些常规的抗组胺药物是没有多大副作用的。,1
有的刺激后有点湿疹，肿倒还好，疣一般不会痒，痒的话可以外用些派瑞松，派瑞松不要用在疣的地方。,1
（2）第一天安排：请于03月13日（周日）上午8:00至泸定路院区（泸定路355号）3楼H区5号诊室报到。,1
带状疱疹病毒可能传播给无水痘病史或水痘疫苗接种史的人群导致水痘发生，应严格避免接触无水痘病史或水痘疫苗接种史的孕妇、婴幼儿和免疫功能低下等高危人群。,1
点涂,1
病史已阅。,0
拉稀和消化不良有关系，局部潮湿啊，消化科看了没有？,1
现在开始，你只需要用依巴斯汀，用进口的，商品名叫开思亭,1
这个大的结节不会吸收了，但是手术也没有那么迫切，因为结节比较小，恶性程度不高，对生存没有明显影响。,1
这两个其实效果差不多的一个叫序贯，一个叫同步，反正现在国际指南上是第二种就是同步分化掉，但是也有的学者医生认为血管效果更好，但是这两种任意选一种其实都差不多没区别的。,1
继续随访即可,0
最近的Ct我看不到,0
不管你是五天和三天，这个时间都太长，说明它的剂量过高，一般来说，我们只需要他哄一天你红个超过一天的时间就说明这个能量太高了，第二次为什么会比第一次短一点，因为他对这个能量有所适应，你第一次的起始能量太大。,1
因为脑室体部一直在扩张，所以后续还是存在脑积水的风险,1
嗯，我看您好像嗯提供的这个CT报告示。,0
人体进食后会产生额外热量，容易出汗加重，所以进食含汤类的食物更容易加重和诱发。,1
必须要同时做宫颈活检，看病理报告是什么才能明确诊断,1
请上传我写的病历资料，我看一下，再回答你。,0
第二个既然已经就不是天天擦药膏了，你完全可以把面膜和他和摩斯的时间分开来用，对吧，那么我觉得这是两种处理的方式，第二个，呃，我想其实面膜作为保湿来说也不是最主要的，嗯，不管如何，我们是不是最近这一两周把这个伏尔加面膜先暂停一下，就用点常规的保湿乳液呢？,1
看一下周一尿培养结果,0
我们明天和肿瘤科医生协商，明天上午给你回复,0
如果奥青买不到，可以：派瑞松乳膏代替，不是这种克霉唑乳膏,1
真的心理负担重就手术，感觉消失不掉的。,1
片子、报告出来了？,0
可以继续随访,0
常见刺激诱发因素：避免各种机械、化学物质刺激，如搔抓、摩擦，毛织物、漂白剂，以及不适当的护理产品等刺激，及时清除汗液对皮肤的刺激；避免过度干燥和高温等刺激，适宜居住温度为18 ℃ ~ 11 ℃；控制环境中致敏物，如尘螨、动物皮屑、花粉等。,1
是做的什么憩室手术？,0
如果目前仅仅是发红而没有瘙痒，没有小疹子这种情况在基础护理做好的前提下，建议lpl光子治疗,1
可以去查一下，包括激素水平,1
晚上再加一颗散利痛吧。,1
那要是家长特别急的，就用激素，但是副作用极大。,1
你上午来了上午都会做完的呀，肯定上午能完成的呀。,0
随访吧,0
不客气，,0
停经要首先排除妊娠，一定要做尿妊娠试纸。,1
卡泊三醇软膏（达力士） 15g:0.75mg*1支/盒 数量：1盒,1
是打针的副作用，可以吃一点钙片。,1
嗯，可以一些正规的中医看看有没有什么好办法调理一下，然后还有就是从西医角度的话，主要就是控制环境温度。,1
片子看了，没有问题，以后半年复查一下，原位癌和微侵润可以手术治愈,1
呃，因为那个EXA的水平略微高一点，正常是小于十你是13点几，所以我觉得吃三天就够了，可能你这个三天药物吃下来过以后会有点滴出血的呃，你不用管他呃，等你那个血呃出血的时候你再联系我，我再告诉你这个呃，再接着吃补佳乐或者是这个安宫黄体酮，但前提是你一定要到当地医院再测一下HCGHCG小于正常，我们才能够补充呃，补佳乐和安宫黄体筒。,1
感觉照片上看并不是很明显？,0
105 或者 100,0
建议后续治疗,0
看后面的超声考虑卵巢巧克力囊肿，如果没有生育要求，可以口服地诺孕素，如果有生育要求，可以先备孕，一年不怀孕，再手术治疗,1
男同志不需要治疗,1
您好，我看了一下您发给我的报告，就是说您去年做过一次汽油挖出素今年的3月8号做了一个超声对吧，正常的3月1号呢，有一个显示右附件区有个囊肿，那么根据这个情况呢，我就是怀疑，就是有可能这个附件区啊，它是一个生理性囊肿，所以您下一次呢，就是等月经的第五到七天的时候再去做个阴超看看那个时候的话，如果是生理性囊肿就没有了，如果是还有囊肿就证明确实是囊肿是有的。,1
可以用200mg贝伐单抗治疗,1
我们观察3-4周,1
可以一个月后复查一下,1
随访就可以,0
右侧面部是遗留的凹陷性疤痕，是要靠自己修复了，如果美观需求，需要激光治疗。,1
考虑为软纤维瘤，建议必要时激光治疗。,1
对，血压也不能太低,1
您说的副作用具体表现是什么？,0
两年后复查DSA,1
外用药：复方克霉唑软膏每天少量涂抹二次。,1
您近期有查过肾功能嘛？,0
米诺环素代谢半衰期很快，所以停药后就可以备孕。,1
这些药都没有影响的。,0
可以试试新型的生物制剂，对瘙痒改善应该明显，但老年人的观察效果还需要临床实际的效果来看,1
22检查，23手术,1
现在疫情的关系 大家都去核酸采样了 我们科手术还没开展呢,0
长头发很慢的，特别毛囊萎缩程度比较高的区域会更难，米诺地尔和域发用量要喷足量，才有效果哦,1
肿瘤很大了,1
呃，避孕药或者孕激素之类的药物，你用这个断血流对证一下，没没有起到作用，就应该用孕激素或者避孕药止血调经，而你用缩宫素是没有用的，我不知道为什么要用缩宫素。,1
祝患者好运。,0
注意事项：注意休息提高免疫力，饮食清淡忌辛辣刺激手部避免肥皂洗洁精等刺激物接触。,1
正常的,0
你好。,0
增强磁共振才能确定是否囊肿。,1
化妆品成分的斑贴试验,0
如果非常严重，就不要打第6针了。,1
痂皮脱落，排尿就通畅了。,1
也就是说哪怕停了药，也可能出现。,0
我周一周三周五都在门诊。,1
超声报告单上传来看看。,0
哦,0
我觉得没啥可能～,0
平时会接触什么特别的化学物质？,0
依巴斯汀每晚1粒，复方甘草酸苷片每天3次每次2粒，艾洛松每天涂1次,1
几秒钟就好了,0
嗯 基本可以,0
请问有糖尿病，尿路结石，其他慢性疾病或者手术吗？,0
没有见心血管波动，如果说只是少去配啊，没有见心血管搏动是可以再等等的。,1
多长时间了？,0
8）根据新冠疫情变化，住院期间病房管理可能发生调整，请谅解并配合。,0
那没办法啊！,0
OK,0
不开刀,1
治疗方案按照上面我给你的，可以2个月复查。,1
蛛网膜囊肿是先天性疾病，一般情况下不会长大，目前暂不需要手术治疗，建议半年时间检查一下磁共振。,1
右下叶毛玻璃结节冠状位,0
头发短可以直接发,0
哎，你好呀，看照片的话，这我觉得不能除外白癜风啊，像这种情况要做一个伍德灯的检测，我觉得需要明确好了以后可能要用一些中药啊等等的一些治疗，呃，我感觉可能还是要好好的治我不知道你在上海吗，如果在上海的话，可以到我这里来，我帮你下个礼拜加个号，看看门诊，然后该用什么药物的话，我们就去使用就行了。,1
严密随访,0
质子重离子放疗目前在膀胱癌中累积的经验较少，长期疗效还有待考证。,1
你好，可否把你的那个上次的出院小结发给我看一下。,0
比上个月吸收了很多了,0
风险不大，顺利的话一般住院一周左右就可以了,1
后面可以半年复查膀胱镜,1
吃完就可以，不用其它,0
首先不建议使用任何面膜，但要加强防晒、饮食清淡，辛辣刺激的少吃。,1
建议可以外喷生长因子每天3次。,1
囊肿是先天性的，终生伴随，通常不影响身体。,1
只是药物剂量小,0
是否严重以活检病理结果判定。,0
快去快去。,0
复查结果提示没有问题，还是坚持每半年复查一次,1
您好！,0
后期可能会结痂，洗澡后大概两周它就会掉了。,1
收到,0
是的，不客气,0
眼皮上是脂肪粒了，得到医院挑出,1
"1-7的问题，除了4,还有上述情况怎么样？",0
益母草是活血化淤的！,1
以及用药效果？,0
从照片上看你的色素痣形态良好，没有什么问题。,1
闭口粉刺最好不要挑，挑破容易留色素和瘢痕,1
考虑左侧巨输尿管，临床上巨输尿管可进一步细分为梗阻型巨输尿管；反流型巨输尿管；梗阻伴反流型巨输尿管；无梗阻无反流型巨输尿管。,1
像你这种大小的纯磨玻璃结节，目前来中药治疗比较合适。,1
先消炎复查，看肺癌还是验证可能大，现在不用吃中药。,1
拍些照片发来看看！,0
卡泊三醇倍他米松软膏（得肤宝） 1g:50ug;0.5mg*15g 数量：2盒,1
有些人会伴有局部瘙痒、刺痛、抽痛。,1
如果不放心的话可以来上海做个复查的CTLDSA复查个造影好吧。,1
是索菲撒的 这次可以再调一次,0
况且有的时候捂着出汗，衣服摩擦刺激，抵抗力下降也可能会出现您说的这种肚子上的皮肤症状。,1
最好病理会诊一下,1
静脉瘘可能大，但是如果用西地那非(伟哥)等有效的话，无论什么原因，都不用去管他了，所以还是先用药治疗吧。,1
吃2-3个月地屈孕酮之后就诊，由医生评估判断是否需要调整剂量。,1
住院手术需2-3周,1
戒酒戒烟戒辣，多饮水，避免久坐，不熬夜。,1
单用免疫治疗只有百分之十几的有效率。,1
需要做个核磁,1
看到了。,0
出生后也不急着处理,1
如果放弃妊娠建议先终止妊娠后复查B超如肿块还在建议手术治疗,1
可以接种疫苗，在当地医院康复就可以了，颈颅磁或生物反馈治疗的意义不是很大,1
